"Company","Vessel Name","IMO"
"Asahi Tanker Co., Ltd.","Akatsuki Maru","9473729"
"Laredo Maritime Inc.","Akeraios","9328297"
"Rema Maritime Limited","Aktea R","9554171"
"Centurion Navigation Limited","Aktoras","9312925"
"Al Agaila Oil Company Limited","Al Agaila","9415404"
"Red Sea Marine Services Co., Ltd.","Al Habibah","9290294"
"Red Sea Marine Management (DMCC)","Al Shaffiah","9358620"
"Madu Shipping Pte. Ltd.","Alam Madu","9717060"
"Manis Shipping Pte. Ltd.","Alam Manis","9397834"
"Molek Shipping Pte. Ltd.","Alam Molek","9717072"
"Brilliant Star Shipping Pte. Ltd.","Alam Mulia","9748497"
"PCL (Shipping) Pte. Ltd.","Alam Mutiara","9615169"
"Padu Shipping Pte. Ltd.","Alam Padu","9285158"
"Malaysian Bulk Carriers Berhad","Alam Permai","9285160"
"Pintar Shipping Pte. Ltd.","Alam Pintar","9296858"
"Sejahtera Shipping Pte. Ltd.","Alam Sejahtera","9757539"
"Bright Star Shipmanagemert, Inc.","Alam Sinar","9674816"
"Worldwide Overseas SA","Alaska","9302607"
"Rainbow Maritime Co., Ltd.","Alaska","9773480"
"Alaska Tanker Company, LLC","Alaskan Explorer","9244661"
"Alaska Tanker Company, LLC","Alaskan Legend","9271432"
"Alaska Tanker Company, LLC","Alaskan Navigator","9244673"
"UCC 5 Limited","Alba","9297345"
"Steel 2 LLC","Celsius Birdie","9423724"
"Steel 1 LLC","Celsius Eagle","9423750"
"Stainless 12 Limited","Celsius Macau","9308235"
"Stainless 10 Limited","Celsius Malaga","9408803"
"Stainless 4 Limited","Celsius Manhattan","9323766"
"Stainless 1 Limited","Celsius Manila","9244984"
"Stainless 3 Limited","Celsius Mayfair","9358632"
"Stainless 11 Limited","Celsius Mexico","9408798"
"Stainless 5 Limited","Celsius Miami","9304320"
"Stainless 2 Limited","Celsius Monaco","9309629"
"Stainless 6 Limited","Celsius Mumbai","9304332"
"Co., Ltd","Celsius Palermo","9414292"
"Richmond Tanker LLC","Celsius Richmond","9425538"
"GH Prod","Celsius Rome","9392389"
"Timal Shipping Inc.","Celtic Sea","9259599"
"Palette Town Limited","Cendana","9263071"
"SSC Centaurus Leader Pte. Ltd.","Centaurus Leader","9284740"
"MK Centennial Maritime BV","Centenario Blu","9478884"
"MK Centennial Maritime BV","Centenario Forza","9500041"
"MK Centennial Maritime BV","Centennial Harmony","9590838"
"MK Centennial Maritime BV","Centennial Matsuyama","9367736"
"Co., Ltd","Centennial Misumi","9367724"
"Clumvez Shipping Inc.","Central Park","9725823"
"Hachiuma Steamship Co., Ltd.","Century Leader no.3","8502468"
"Marine Express Inc.","103","1158882"
"17 February Shipping Company Limited","17 February","9380893"
"Lind Marine, Inc.","201","D503918"
"Lind Marine, Inc.","201","D503918"
"Intrepid Ship Management, Inc.","550-1","9270309"
"Intrepid Ship Management, Inc.","550-2","9270311"
"Intrepid Ship Management, Inc.","550-3","9271107"
"Intrepid Ship Management, Inc.","550-4","9271092"
"Intrepid Ship Management, Inc.","650-1","9369318"
"Intrepid Ship Management, Inc.","650-2","9369320"
"Intrepid Ship Management, Inc.","650-3","9369332"
"Intrepid Ship Management, Inc.","650-4","9369344"
"Intrepid Ship Management, Inc.","650-5","9369356"
"Intrepid Ship Management, Inc.","650-6","9369368"
"Intrepid Ship Management, Inc.","650-8","9542623"
"Intrepid Ship Management, Inc.","650-9","9542635"
"Intrepid Ship Management, Inc.","750-1","9475076"
"Intrepid Ship Management, Inc.","750-2","9475337"
"Intrepid Ship Management, Inc.","750-3","9475351"
"AAL Bangkok Navigation Company Limited","AAL Bangkok","9521564"
"AAL Brisbane Navigation Company Limited","AAL Brisbane","9498341"
"AAL Dalian Navigation Company Limited","AAL Dalian","9498470"
"AAL Dampier Navigation Company Limited","AAL Dampier","9521540"
"AAL Fremantle Navigation Company Limited","Fremantle","9521095"
"AAL Hong Kong Navigation Company Limited","AAL Hong Kong","9498468"
"AAL Kembla Navigation Company Limited","AAL Kembla","9498353"
"AAL Kobe Navigation Company Limited","AAL Kobe","9498444"
"AAL Melbourne Navigation Company Limited","AAL Melbourne","9498456"
"AAL Newcastle Navigation Company Limited","AAL Newcastle","9498482"
"AAL Pusan Navigation Company Limited","AAL Pusan","9498389"
"AAL Singapore Navigation Company Limited","AAL Singapore","9498365"
"Eastern Mediterranean Maritime Limited","Abliani","9693068"
"The National Shipping Company of Saudi Arabia","Abgaiq","9247182"
"Sincere Industrial Corporation","AC Amity","9623116"
"Sincere Industrial Corporation","AC Kathryn","9310745"
"Bright Charter Shipping Limited","AC Sesoda","9470791"
"Bright Charter Shipping Limited","AC Splendor","9288239"
"Westiv Shipping Inc","Acadia Park","9780548"
"Intrepid Ship Management, Inc.","Achievement","9542568"
"Mount Shipping Co., Ltd.","Achilleas","9458494"
